43217597			,27-APR-10 01.17.40.000000 PM						    ,CR_MassFilter											 ,27-APR-10 01.17.40.581078 PM						     ,CR_MassFilter											  ,SCBEEHOGED,	       2,      6966,28-JAN-15	      , ,									    ,										,
43236255			,27-APR-10 01.59.55.000000 PM						    ,CR_MassFilter											 ,27-APR-10 01.59.55.322137 PM						     ,CR_MassFilter											  ,SCNLEFADIM,	       3,      1692,29-JAN-19	      , ,									    ,										,
43247551			,27-APR-10 02.28.01.000000 PM						    ,CR_MassFilter											 ,27-APR-10 02.28.01.677607 PM						     ,CR_MassFilter											  ,SCNLEAETFL,	       2,     14896,21-DEC-12	      , ,									    ,										,
43249486			,27-APR-10 02.33.20.000000 PM						    ,CR_MassFilter											 ,27-APR-10 02.33.20.365938 PM						     ,CR_MassFilter											  ,HPATECOSOF,	       1,     11529,29-JAN-19	      , ,									    ,										,
43309092			,27-APR-10 04.54.26.000000 PM						    ,CR_MassFilter											 ,27-APR-10 04.54.26.461779 PM						     ,CR_MassFilter											  ,SAP_EP2SJA,	       1,    290334,16-AUG-10	      , ,									    ,										,
43351809			,27-APR-10 06.57.25.000000 PM						    ,CR_MassFilter											 ,27-APR-10 06.57.25.938778 PM						     ,CR_MassFilter											  ,APPLEUPFAN,	       1,      3697,18-MAR-13	      , ,									    ,										,
43355158			,27-APR-10 07.12.02.000000 PM						    ,CR_MassFilter											 ,27-APR-10 07.12.02.193275 PM						     ,CR_MassFilter											  ,SCZAEDCIOF,	       1,      1354,25-JAN-19	      , ,									    ,										,
43375263			,27-APR-10 08.31.23.000000 PM						    ,CR_MassFilter											 ,27-APR-10 08.31.23.694839 PM						     ,CR_MassFilter											  ,APPLECZTAN,	       2,    135472,07-SEP-13	      , ,									    ,										,
43375294			,27-APR-10 08.31.46.000000 PM						    ,CR_MassFilter											 ,27-APR-10 08.31.46.133535 PM						     ,CR_MassFilter											  ,APPLECZFAN,	       2,      1377,07-SEP-13	      , ,									    ,										,
43422132			,28-APR-10 12.02.17.000000 AM						    ,CR_MassFilter											 ,28-APR-10 12.02.17.044308 AM						     ,CR_MassFilter											  ,EUCAEFEPOF,	       8,     19092,28-APR-10	      , ,									    ,										,
43424950			,28-APR-10 12.15.35.000000 AM						    ,CR_MassFilter											 ,28-APR-10 12.15.35.082382 AM						     ,CR_MassFilter											  ,PORSESTRVK,	       2,      1536,29-JAN-19	      , ,									    ,										,
43449060			,28-APR-10 02.46.51.000000 AM						    ,CR_MassFilter											 ,28-APR-10 02.46.51.765652 AM						     ,CR_MassFilter											  ,SCZAEDCPOF,	       1,      4309,02-JUN-12	      , ,									    ,										,
43557858			,28-APR-10 09.46.36.000000 AM						    ,CR_MassFilter											 ,28-APR-10 09.46.36.098905 AM						     ,CR_MassFilter											  ,SCNLE2BEED,	       1,	648,29-JAN-19	      , ,									    ,										,
43638623			,28-APR-10 12.51.04.000000 PM						    ,CR_MassFilter											 ,28-APR-10 12.51.04.106726 PM						     ,CR_MassFilter											  ,APPLESINPA,	       1,      1002,11-JUL-10	      , ,									    ,										,
43716297			,28-APR-10 04.10.30.000000 PM						    ,CR_MassFilter											 ,28-APR-10 04.10.30.648346 PM						     ,CR_MassFilter											  ,VESTETNEIM,	       1,      1086,01-DEC-16	      , ,									    ,										,
44036601			,29-APR-10 11.42.20.000000 AM						    ,CR_MassFilter											 ,29-APR-10 11.42.20.826816 AM						     ,CR_MassFilter											  ,SCBEECARXM,	       1,      3487,07-MAR-14	      , ,									    ,										,
44071186			,29-APR-10 01.13.21.000000 PM						    ,CR_MassFilter											 ,29-APR-10 01.13.21.576809 PM						     ,CR_MassFilter											  ,PORSEBORVD,	       1,     27520,29-JAN-19	      , ,									    ,										,
44088384			,29-APR-10 02.03.54.000000 PM						    ,CR_MassFilter											 ,29-APR-10 02.03.54.240669 PM						     ,CR_MassFilter											  ,BOSCE2STCE,	       2,      5345,27-AUG-11	      , ,									    ,										,
44111603			,29-APR-10 03.00.30.000000 PM						    ,CR_MassFilter											 ,29-APR-10 03.00.30.064667 PM						     ,CR_MassFilter											  ,ERICE2BEDA,	       2,     60009,29-JAN-19	      , ,									    ,										,
44434019			,30-APR-10 10.46.56.000000 AM						    ,CR_MassFilter											 ,30-APR-10 10.46.56.288887 AM						     ,CR_MassFilter											  ,CNH_EFRSCE,	       4,     17864,28-JAN-19	      , ,									    ,										,
45104967			,03-MAY-10 02.48.14.000000 PM						    ,CR_MassFilter											 ,03-MAY-10 02.48.14.493169 PM						     ,CR_MassFilter											  ,SAG_ERSWIT,	       7,      2373,22-JUN-11	      , ,									    ,										,
45126884			,03-MAY-10 03.51.17.000000 PM						    ,CR_MassFilter											 ,03-MAY-10 03.51.17.865843 PM						     ,CR_MassFilter											  ,VESTETNTIM,	       1,      1540,29-NOV-16	      , ,									    ,										,
45308168			,04-MAY-10 08.44.57.000000 AM						    ,CR_MassFilter											 ,04-MAY-10 08.44.57.538473 AM						     ,CR_MassFilter											  ,SCBEESLFOF,	       2,     44758,30-JAN-15	      , ,									    ,										,
45314768			,04-MAY-10 09.03.16.000000 AM						    ,CR_MassFilter											 ,04-MAY-10 09.03.16.552529 AM						     ,CR_MassFilter											  ,CNH_EFRVCE,	       2,      8526,04-MAY-10	      , ,									    ,										,
45361648			,04-MAY-10 10.57.36.000000 AM						    ,CR_MassFilter											 ,04-MAY-10 10.57.36.923588 AM						     ,CR_MassFilter											  ,SCBEESLFED,	       2,     52407,04-FEB-15	      , ,									    ,										,
45379697			,04-MAY-10 11.40.44.000000 AM						    ,CR_MassFilter											 ,04-MAY-10 11.40.44.735827 AM						     ,CR_MassFilter											  ,SCBEESLEOF,	       6,    226113,29-JAN-15	      , ,									    ,										,
